"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"680804900553371648","","","2015-12-26 17:38:31 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",".@garzadsaro I am stunned but pleased to see you here... but that shirt...ugh","","","",""
"677557821483958272","","","2015-12-17 18:35:47 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @McMillanATX: Proud to be an AC alum and proud of this kid. ""Muslim @AustinCollege student fears backlash after recent attacks"" https://…","677490236843143168","1763340438","2015-12-17 14:07:14 +0000","http://www.kxii.com/home/headlines/Muslim-student-from-Austin-College-fears-backlash-after-recent-attacks-362574831.html?device=tablet&c=y#.VnLBTwjUhLo.twitter"
"676906900349390848","","","2015-12-15 23:29:16 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","That's quite disrespectful to the #AFCSouth... https://t.co/Xc3uuZsiyT","","","","https://twitter.com/NateSilver538/status/676903882895826945"
"676851199350456320","","","2015-12-15 19:47:55 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Thanks, just grabbed it! https://t.co/CtJIN3OzHh","","","","https://twitter.com/sweatscience/status/676849267525423104"
"676850571102539776","","","2015-12-15 19:45:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Well alright... U. of Iowa President Apologizes for Suggesting Unprepared Professors Be Shot https://t.co/WIF0nnqWbb via @chronicle","","","","https://shar.es/1G723b"
"676847057399758848","","","2015-12-15 19:31:28 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Religious Songs That Anyone Can Love: Bob Dylan, The Byrds, Sam Cooke, Johnny Cash &amp; Your Favorites https://t.co/Hf3x6pLeSL via @openculture","","","","http://www.openculture.com/2015/12/religious-songs-that-secular-people-love.html"
"676845909490053120","","","2015-12-15 19:26:54 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Ridiculous... https://t.co/k7ZbTOsF9h","","","","https://twitter.com/allistelling/status/676841745288716288"
"676831822773248001","","","2015-12-15 18:30:56 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",".@MadsRose #leaf  https://t.co/RdqYHRciCE","","","","https://twitter.com/DCFreep/status/676822982208176129"
"675395852110708736","","","2015-12-11 19:24:54 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Here's a sample.... Mary Did You Know? https://t.co/rjqKB0ZE9Q #JubilantSykes @artandseek","","","","https://youtu.be/vr8iFD3OSuI"
"675394974330916865","","","2015-12-11 19:21:24 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Awesome concert of Christmas spirituals last night at DSO by #JubilantSykes and friends @artandseek","","","",""
"674634070823858177","674629978307305472","2893451843","2015-12-09 16:57:51 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@AnamcharaFaith Indeed...and I hope you are having a wonderful day...","","","",""
"674362534267260931","","","2015-12-08 22:58:51 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","How Catholic leaders are defying governors who are trying to block refugees https://t.co/o00A0koeoT","","","","http://wpo.st/t_dv0"
"674268559334350848","","24901914","2015-12-08 16:45:26 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@posadasj FYI... https://t.co/eB3fnDgG0i","","","","https://twitter.com/EmilyBostaph/status/673368970179817472"
"674060102404476928","","","2015-12-08 02:57:06 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Just won two free tickets! DSO Christmas Spirituals Featuring Jubilant Sykes https://t.co/hjFyitgk1d","","","","http://artandseek.org/calendar/event/68887/dso-christmas-spirituals-featuring-jubilant-sykes"
"674019571716632576","","","2015-12-08 00:16:03 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @Redemptoristsau: #YearofMercy digital resource kit:https://t.co/kGzz5cZJds Help from: @Kerry_Weber @EvangeliseAus @bread4today @BrokenB…","674005278795296768","377196080","2015-12-07 23:19:15 +0000","http://cssr.org.au/writings/dsp-default.cfm?loadref=702,http://cssr.org.au/writings/dsp-default.cfm?loadref=702"
"673976393793822720","","","2015-12-07 21:24:28 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","#ACDigPed
 https://t.co/j8HOARfsvL","","","","https://twitter.com/cathyjoweems/status/673974163648856064"
"672884228602728448","","","2015-12-04 21:04:36 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Texas Without Syrian and Lebanese Refugees Would Not Be Texas https://t.co/kPbkxy2dTm via @texasmonthly","","","","https://shar.es/1c9Mul"
"672864260490334209","","","2015-12-04 19:45:15 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",".@bolillotejano  https://t.co/LXeTaq9Uas","","","","https://twitter.com/wiredcampus/status/672863912329682944"
"672861858806697985","672629081859469312","13920172","2015-12-04 19:35:42 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",".@tmcphers @AustinCollege @anvcscalar Hope to get some posts up on our blog reporting on Scalar usage... https://t.co/z1HyaiQciR","","","","http://acdigitalpedagogy.org/"
"672254775329591296","","","2015-12-03 03:23:22 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Interesting #digped position in UK at  Durham University Research Centre for Digital Theology  https://t.co/puye9LK0Xe","","","","https://www.dur.ac.uk/codec/blog/"
"672245686453198848","672227922501996544","13920172","2015-12-03 02:47:16 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",".@tmcphers Wonderful...my daughter is at Rice. We have about half a dozen courses @austincollege using @anvcscalar this semester.","","","",""
"672072732876533760","","","2015-12-02 15:20:00 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Now watching excellent student presentations using @anvcscalar in Dr. Vargas-O'Bryan's Intro to Buddhism class @AustinCollege  #ACDigPed","","","",""
"672067994936213509","","","2015-12-02 15:01:11 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",".@MadsRose #forthewin  https://t.co/btRgRxFsSX","","","","https://twitter.com/RiceArch/status/672061427323023360"
"671546247216414720","","","2015-12-01 04:27:56 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Check out AC's IT tips on Internet Security on the AC website, and take the ""How Safe is Your Data?"" quiz. #ACDigPed https://t.co/gLbVpx53bo","","","","https://twitter.com/ac_assembly/status/671544335142268929"
"671539370411692033","671514892323569664","3152142761","2015-12-01 04:00:37 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@ac_assembly Link is broken...","","","",""
"671414463182995456","","","2015-11-30 19:44:16 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","This week's #ACDigPed workshop:  ""Travel and Study Abroad--Digital Edition"" https://t.co/T2n4YyynzT https://t.co/IY8zimK5lW","","","","http://ow.ly/VhLzA,http://twitter.com/MorrisPelzel/status/671414463182995456/photo/1"
"671365257684619264","","","2015-11-30 16:28:45 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","#UnconventionalWisdom https://t.co/p9nj5mMxoB","","","","https://twitter.com/MariaRMontalvo/status/671364249399263234"
"671186962686984192","671178469376589824","740343","2015-11-30 04:40:16 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@cogdog That's great....I came along in '59...looks like the long tail petered out about 20 years ago...","","","",""
"671175142060376064","","","2015-11-30 03:53:18 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Morris peaked in 1912, at #82...been a long slow decline ever since... https://t.co/dREEBBXRmB HT @cogdog https://t.co/hjG4GhUv6Q","","","","http://ow.ly/Vffur,http://twitter.com/MorrisPelzel/status/671175142060376064/photo/1"
"669917229543108608","","","2015-11-26 16:34:48 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Perhaps we could team teach it ;) https://t.co/kVtKvgxoGf","","","","https://twitter.com/bolillotejano/status/669914854510206976"
"669354142221996032","","","2015-11-25 03:17:18 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",".@MadsRose  https://t.co/vyJoBzbAAN","","","","https://twitter.com/TexasMonthly/status/669217778780520448"
"668999543741091840","668998316873678848","113129441","2015-11-24 03:48:15 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@JonMalesic Try Sports Illustrated live feed... https://t.co/OMAW09ZHyR","","","","http://www.si.com/nfl/game/2015/11/23/bills-patriots-monday-november-23rd-2015"
"668871903818465280","","","2015-11-23 19:21:03 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","But really..important article by @TheFix. The 2016 campaign is increasingly fact-free. Terrible thing for all of us. https://t.co/oaha79YA4U","","","","http://wpo.st/FkKr0"
"668868476627390465","668864735929114624","14412533","2015-11-23 19:07:26 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","C'mon @TheFix ... stopping flouting the rules of good usage... https://t.co/gOwXaoBDEP","","","","http://twitter.com/MorrisPelzel/status/668868476627390465/photo/1"
"668495513000390657","668494411819544577","1005568453","2015-11-22 18:25:25 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@AVCXWord Not for me...would prefer a tough themeless or cryptic if offering additional puzzle","","","",""
"668194344747184128","","","2015-11-21 22:28:40 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Thanks, @karlbakeman! Also currently being used with @anvcscalar in senior English seminar... #ACDigPed https://t.co/jZGvhPO0XR","","","","https://twitter.com/karlbakeman/status/667998893938974720"
"667431836663062529","667431353131094016","8927752","2015-11-19 19:58:44 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",".@KavuBob Problem also is trying to replicate in-class exp. in online env....two different spaces","","","",""
"667431102458523649","667429871073820673","141806761","2015-11-19 19:55:49 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",".@JRDingwall if no ND, what is limitation on remix (except for NC)?","","","",""
"667430569358307329","667430118768406528","8927752","2015-11-19 19:53:42 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@KavuBob Yes, that kind of chunking/sequencing makes sense...tho not sure why having an audience in the vid would be detrimental...","","","",""
"667429294625439744","667428775467044864","8927752","2015-11-19 19:48:38 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@KavuBob So no video in online courses?","","","",""
"667428393907036164","","","2015-11-19 19:45:03 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Better learning at live lectures than at videotaped ones? https://t.co/8TzJb7OWrr https://t.co/ynPdYngskZ","","","","http://ow.ly/URe94,http://twitter.com/MorrisPelzel/status/667428393907036164/photo/1"
"667427077562478592","","","2015-11-19 19:39:50 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","#DigitalLiteracy FTW https://t.co/tGpzSjEJQp","","","","https://twitter.com/ACcareerservice/status/667425644406546432"
"667379144586452992","","","2015-11-19 16:29:22 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","I absolutely love how @TheFix handles his critics. https://t.co/pN3UuWAXYM","","","","https://twitter.com/TheFix/status/667377122265141249"
"667180676203085824","","","2015-11-19 03:20:43 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Please consider supporting this Syrian family resettlement project and share with others... https://t.co/2d5WrkAudo","","","","https://twitter.com/bonstewart/status/667157597947039745"
"666707764022906880","","","2015-11-17 20:01:32 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","fyi @AC_PsychClub @I_MacFarlane  https://t.co/IWjdbHiHh4","","","","https://twitter.com/TheFix/status/666702848265203716"
"666451403703869440","","","2015-11-17 03:02:51 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @americamag: Tom Smolich, SJ, head of @JesuitRefugee speaks to America on Europe's refugee crisis in light of the Paris tragedy.
https:/…","666447744974921728","17372204","2015-11-17 02:48:19 +0000","http://buff.ly/1kB8Cw1"
"666404193985368064","","","2015-11-16 23:55:15 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @owillis: if only we had a seasonally appropriate story about middle eastern people seeking refuge being turned away by the heartless","666345924013252609","3497941","2015-11-16 20:03:43 +0000",""
"666328422734430208","","","2015-11-16 18:54:10 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","This week's #ACDigPed workshop: ""Intellectual Property, Copyright, and Open Pedagogy"" https://t.co/LUEvjWbMW9 https://t.co/Of3pqLS7uD","","","","http://ow.ly/UID6C,http://twitter.com/MorrisPelzel/status/666328422734430208/photo/1"
"665300719839277058","","","2015-11-13 22:50:26 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @SEMcBain: Amazingly, already positive mobilisation online: use #porteouverte if you're in Paris &amp; need shelter https://t.co/MLWG1KVGIL","665292563218329605","731418054","2015-11-13 22:18:02 +0000","https://twitter.com/the_audreyc/status/665289314016862208,https://twitter.com/the_audreyc/status/665289314016862208"
"664956581738516480","","","2015-11-13 00:02:58 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","#AnnotateTheWorld https://t.co/VdhDz9pCsZ","","","","https://twitter.com/hypothes_is/status/664951100999663616"
"664519235163455488","","","2015-11-11 19:05:06 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","""Digital Scholarship Series: Runaway Slaves, Twitter, and Public History"" At UNT Library, Mon, Nov 16, 1-3pm  https://t.co/Le28jFFocn","","","","http://ow.ly/Ux4A8"
"664172907849867264","","","2015-11-10 20:08:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@MadsRose ""Why Houston is one of America's best food cities"" https://t.co/QPKvmosORc","","","","http://wapo.st/houstonfood"
"663802546696224768","663800528405680128","13132932","2015-11-09 19:37:14 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",".@derekbruff Thanks again! Your course is also a great model for student blogging and @diigo groups...and that syllabus design is awesome!","","","",""
"663766850518446080","","","2015-11-09 17:15:24 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","This week's #ACDigPed workshop: ""Just in Time: Visualizing Knowledge with Digital Timelines"" https://t.co/rYD2t3eyT8 @knightlab @derekbruff","","","","http://ow.ly/UqAAW"
"663506800637952001","663478770158833664","180143179","2015-11-09 00:02:03 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@caruso81 You seriously pick DAL over GB?","","","",""
"661298126075076608","661280308638040064","739521654","2015-11-02 21:45:34 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",".@dr_jdean @hypothes_is Thanks! Workshop is tomorrow and Wednesday...","","","",""
"661250385865080833","","","2015-11-02 18:35:52 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",".@MadsRose Istanbul! #RiceArch https://t.co/fPSykPoHzY","","","","https://twitter.com/RiceUniversity/status/661249046460407809"
"661205325165363200","","","2015-11-02 15:36:48 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","This week's #ACDigPed workshop: ""Annotate the Web with Hypothes.is"" https://t.co/CbTlXV8HcP @hypothes_is https://t.co/obAiRtueJL","","","","http://ow.ly/U8yFT,http://twitter.com/MorrisPelzel/status/661205325165363200/photo/1"
"658701577029599232","","","2015-10-26 17:47:48 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","This week's #ACDigPed workshop: ""Social Bookmarking as a Knowledge Management Practice""
https://t.co/PxZuDQ4K0L https://t.co/fTj7W6UisF","","","","http://ow.ly/TRiNj,http://twitter.com/MorrisPelzel/status/658701577029599232/photo/1"
"658412569338638336","","","2015-10-25 22:39:23 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@MadsRose ""Green Acres: How Houston Became a Model for Urban Green Spaces"" https://t.co/BhAB0HK7pz via @texasmonthly","","","","https://shar.es/1uR25e"
"657329433628516352","","","2015-10-22 22:55:24 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Theological slugfest! Infernal smoke! https://t.co/o4d3XawAZP #Synod15 https://t.co/uHw2e2QjFu","","","","http://wpo.st/3oIi0,http://twitter.com/MorrisPelzel/status/657329433628516352/photo/1"
"656547625060036608","656546346367737856","15601591","2015-10-20 19:08:46 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",".@davidruth Hi David, thanks! Yes, tix at will cal is fine. Would like to meet you and your son sometime. My daughter @MadsRose is at Rice..","","","",""
"656547026285400064","","","2015-10-20 19:06:23 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Whoop! @MadsRose #RiceOwls https://t.co/r4jGb7kIY0","","","","https://twitter.com/RiceUNews/status/656545971799793664"
"656500104887562240","","","2015-10-20 15:59:56 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @RiceUNews: Retweet this and follow us to enter a drawing for 5 tix to Saturday's Rice-Army football game. We'll draw a winner at 2 pm!","656500007244312576","353324665","2015-10-20 15:59:33 +0000",""
"656167229646475264","","","2015-10-19 17:57:13 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","This week's #ACDigPed workshop: ""Wikipedia Assignments: What, How, and Why?"" http://t.co/YoMCZSJNao","","","","http://ow.ly/TAL3a"
"654835362427105280","","","2015-10-16 01:44:51 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","On the impermanence of the Web: ""The Internet's Dark Age"" http://t.co/K5u1x5YOUL http://t.co/XdG7GavOF4","","","","http://ow.ly/TsTOY,http://twitter.com/MorrisPelzel/status/654835362427105280/photo/1"
"654793947181506561","","","2015-10-15 23:00:17 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","New blog post at #ACDigPed ""A Story Maps Journal Example--Grayson County Historical Sites""  http://t.co/exTOzob2eR http://t.co/8ez5impC0p","","","","http://ow.ly/TsI8C,http://twitter.com/MorrisPelzel/status/654793947181506561/photo/1"
"653621146282098688","","","2015-10-12 17:19:59 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","This week's #ACDigPed workshop: ""Where It's At: Basic Digital Mapping for Your Class"" http://t.co/ZkgYLcDWr1","","","","http://ow.ly/Tj4Xs"
"652579014578565121","","","2015-10-09 20:18:56 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Enjoyed presentation last night about @RiceArch sponsored by @HKSArchitects http://t.co/FSxDFpu5ys @MadsRose","","","","http://ow.ly/TeqTk"
"652573110663712768","","","2015-10-09 19:55:28 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Next up on the fall trail running schedule...20K at Rugged &amp; Raw 10K/20K Trail Run http://t.co/hsRiHONBxm via @backonmyfeet","","","","http://bit.ly/10IRYJj"
